start,end,load
2015-01-01 18:45:00+00:00,2015-01-01 19:00:00+00:00,52082
2015-01-01 19:00:00+00:00,2015-01-01 19:15:00+00:00,51573
2015-01-01 19:15:00+00:00,2015-01-01 19:30:00+00:00,50785
2015-01-01 19:30:00+00:00,2015-01-01 19:45:00+00:00,49863
2015-01-01 19:45:00+00:00,2015-01-01 20:00:00+00:00,49031
2015-01-01 20:00:00+00:00,2015-01-01 20:15:00+00:00,48875
2015-01-01 20:15:00+00:00,2015-01-01 20:30:00+00:00,48779
2015-01-01 20:30:00+00:00,2015-01-01 20:45:00+00:00,48494
2015-01-01 20:45:00+00:00,2015-01-01 21:00:00+00:00,48773
2015-01-01 21:00:00+00:00,2015-01-01 21:15:00+00:00,49745
2015-01-01 21:15:00+00:00,2015-01-01 21:30:00+00:00,48991
2015-01-01 21:30:00+00:00,2015-01-01 21:45:00+00:00,48268
2015-01-01 21:45:00+00:00,2015-01-01 22:00:00+00:00,47491
2015-01-01 22:00:00+00:00,2015-01-01 22:15:00+00:00,47012
2015-01-01 22:15:00+00:00,2015-01-01 22:30:00+00:00,46114
2015-01-01 22:30:00+00:00,2015-01-01 22:45:00+00:00,45146
2015-01-01 22:45:00+00:00,2015-01-01 23:00:00+00:00,44399
2015-01-01 23:00:00+00:00,2015-01-01 23:15:00+00:00,42967
2015-01-01 23:15:00+00:00,2015-01-01 23:30:00+00:00,43105
2015-01-01 23:30:00+00:00,2015-01-01 23:45:00+00:00,42102
2015-01-01 23:45:00+00:00,2015-01-02 00:00:00+00:00,41522
2015-01-02 00:00:00+00:00,2015-01-02 00:15:00+00:00,41223
2015-01-02 00:15:00+00:00,2015-01-02 00:30:00+00:00,40680
2015-01-02 00:30:00+00:00,2015-01-02 00:45:00+00:00,40330
2015-01-02 00:45:00+00:00,2015-01-02 01:00:00+00:00,40074
2015-01-02 01:00:00+00:00,2015-01-02 01:15:00+00:00,39939
2015-01-02 01:15:00+00:00,2015-01-02 01:30:00+00:00,39763
2015-01-02 01:30:00+00:00,2015-01-02 01:45:00+00:00,39642
2015-01-02 01:45:00+00:00,2015-01-02 02:00:00+00:00,39484
2015-01-02 02:00:00+00:00,2015-01-02 02:15:00+00:00,39531
2015-01-02 02:15:00+00:00,2015-01-02 02:30:00+00:00,39584
2015-01-02 02:30:00+00:00,2015-01-02 02:45:00+00:00,39451
2015-01-02 02:45:00+00:00,2015-01-02 03:00:00+00:00,39451
2015-01-02 03:00:00+00:00,2015-01-02 03:15:00+00:00,39899
2015-01-02 03:15:00+00:00,2015-01-02 03:30:00+00:00,40189
2015-01-02 03:30:00+00:00,2015-01-02 03:45:00+00:00,40562
2015-01-02 03:45:00+00:00,2015-01-02 04:00:00+00:00,40915
2015-01-02 04:00:00+00:00,2015-01-02 04:15:00+00:00,41746
2015-01-02 04:15:00+00:00,2015-01-02 04:30:00+00:00,41931
2015-01-02 04:30:00+00:00,2015-01-02 04:45:00+00:00,42504
2015-01-02 04:45:00+00:00,2015-01-02 05:00:00+00:00,43347
2015-01-02 05:00:00+00:00,2015-01-02 05:15:00+00:00,44164
2015-01-02 05:15:00+00:00,2015-01-02 05:30:00+00:00,45021
2015-01-02 05:30:00+00:00,2015-01-02 05:45:00+00:00,46137
2015-01-02 05:45:00+00:00,2015-01-02 06:00:00+00:00,47393
2015-01-02 06:00:00+00:00,2015-01-02 06:15:00+00:00,48749
2015-01-02 06:15:00+00:00,2015-01-02 06:30:00+00:00,49732
2015-01-02 06:30:00+00:00,2015-01-02 06:45:00+00:00,50964
2015-01-02 06:45:00+00:00,2015-01-02 07:00:00+00:00,52225
2015-01-02 07:00:00+00:00,2015-01-02 07:15:00+00:00,53236
2015-01-02 07:15:00+00:00,2015-01-02 07:30:00+00:00,54019
2015-01-02 07:30:00+00:00,2015-01-02 07:45:00+00:00,54382
2015-01-02 07:45:00+00:00,2015-01-02 08:00:00+00:00,54886
2015-01-02 08:00:00+00:00,2015-01-02 08:15:00+00:00,55742
2015-01-02 08:15:00+00:00,2015-01-02 08:30:00+00:00,56308
2015-01-02 08:30:00+00:00,2015-01-02 08:45:00+00:00,56781
2015-01-02 08:45:00+00:00,2015-01-02 09:00:00+00:00,57189
2015-01-02 09:00:00+00:00,2015-01-02 09:15:00+00:00,57909
2015-01-02 09:15:00+00:00,2015-01-02 09:30:00+00:00,58162
2015-01-02 09:30:00+00:00,2015-01-02 09:45:00+00:00,58761
2015-01-02 09:45:00+00:00,2015-01-02 10:00:00+00:00,58954
2015-01-02 10:00:00+00:00,2015-01-02 10:15:00+00:00,59373
2015-01-02 10:15:00+00:00,2015-01-02 10:30:00+00:00,59475
2015-01-02 10:30:00+00:00,2015-01-02 10:45:00+00:00,59450
2015-01-02 10:45:00+00:00,2015-01-02 11:00:00+00:00,59513
2015-01-02 11:00:00+00:00,2015-01-02 11:15:00+00:00,59390
2015-01-02 11:15:00+00:00,2015-01-02 11:30:00+00:00,59165
2015-01-02 11:30:00+00:00,2015-01-02 11:45:00+00:00,59207
2015-01-02 11:45:00+00:00,2015-01-02 12:00:00+00:00,59041
2015-01-02 12:00:00+00:00,2015-01-02 12:15:00+00:00,59010
2015-01-02 12:15:00+00:00,2015-01-02 12:30:00+00:00,58689
2015-01-02 12:30:00+00:00,2015-01-02 12:45:00+00:00,58364
2015-01-02 12:45:00+00:00,2015-01-02 13:00:00+00:00,58194
2015-01-02 13:00:00+00:00,2015-01-02 13:15:00+00:00,58055
2015-01-02 13:15:00+00:00,2015-01-02 13:30:00+00:00,57821
2015-01-02 13:30:00+00:00,2015-01-02 13:45:00+00:00,57574
2015-01-02 13:45:00+00:00,2015-01-02 14:00:00+00:00,57434
2015-01-02 14:00:00+00:00,2015-01-02 14:15:00+00:00,57542
2015-01-02 14:15:00+00:00,2015-01-02 14:30:00+00:00,57240
2015-01-02 14:30:00+00:00,2015-01-02 14:45:00+00:00,57069
2015-01-02 14:45:00+00:00,2015-01-02 15:00:00+00:00,57252
2015-01-02 15:00:00+00:00,2015-01-02 15:15:00+00:00,57637
2015-01-02 15:15:00+00:00,2015-01-02 15:30:00+00:00,58423
2015-01-02 15:30:00+00:00,2015-01-02 15:45:00+00:00,59187
2015-01-02 15:45:00+00:00,2015-01-02 16:00:00+00:00,60004
2015-01-02 16:00:00+00:00,2015-01-02 16:15:00+00:00,61073
2015-01-02 16:15:00+00:00,2015-01-02 16:30:00+00:00,61483
2015-01-02 16:30:00+00:00,2015-01-02 16:45:00+00:00,61794
2015-01-02 16:45:00+00:00,2015-01-02 17:00:00+00:00,62071
2015-01-02 17:00:00+00:00,2015-01-02 17:15:00+00:00,62004
2015-01-02 17:15:00+00:00,2015-01-02 17:30:00+00:00,61900
2015-01-02 17:30:00+00:00,2015-01-02 17:45:00+00:00,61607
2015-01-02 17:45:00+00:00,2015-01-02 18:00:00+00:00,61069
2015-01-02 18:00:00+00:00,2015-01-02 18:15:00+00:00,60389
2015-01-02 18:15:00+00:00,2015-01-02 18:30:00+00:00,59619
2015-01-02 18:30:00+00:00,2015-01-02 18:45:00+00:00,58863
2015-01-02 18:45:00+00:00,2015-01-02 19:00:00+00:00,58260
2015-01-02 19:00:00+00:00,2015-01-02 19:15:00+00:00,57171
2015-01-02 19:15:00+00:00,2015-01-02 19:30:00+00:00,56034
2015-01-02 19:30:00+00:00,2015-01-02 19:45:00+00:00,55045
2015-01-02 19:45:00+00:00,2015-01-02 20:00:00+00:00,54238
2015-01-02 20:00:00+00:00,2015-01-02 20:15:00+00:00,53806
2015-01-02 20:15:00+00:00,2015-01-02 20:30:00+00:00,53439
2015-01-02 20:30:00+00:00,2015-01-02 20:45:00+00:00,52959
2015-01-02 20:45:00+00:00,2015-01-02 21:00:00+00:00,52542
2015-01-02 21:00:00+00:00,2015-01-02 21:15:00+00:00,52577
2015-01-02 21:15:00+00:00,2015-01-02 21:30:00+00:00,51839
2015-01-02 21:30:00+00:00,2015-01-02 21:45:00+00:00,51018
2015-01-02 21:45:00+00:00,2015-01-02 22:00:00+00:00,47331
2015-01-02 22:00:00+00:00,2015-01-02 22:15:00+00:00,46805
2015-01-02 22:15:00+00:00,2015-01-02 22:30:00+00:00,45857
2015-01-02 22:30:00+00:00,2015-01-02 22:45:00+00:00,44847
2015-01-02 22:45:00+00:00,2015-01-02 23:00:00+00:00,43784
2015-01-02 23:00:00+00:00,2015-01-02 23:15:00+00:00,41842
2015-01-02 23:15:00+00:00,2015-01-02 23:30:00+00:00,40759
2015-01-02 23:30:00+00:00,2015-01-02 23:45:00+00:00,39904
2015-01-02 23:45:00+00:00,2015-01-03 00:00:00+00:00,39351
2015-01-03 00:00:00+00:00,2015-01-03 00:15:00+00:00,38952
2015-01-03 00:15:00+00:00,2015-01-03 00:30:00+00:00,38335
2015-01-03 00:30:00+00:00,2015-01-03 00:45:00+00:00,38198
2015-01-03 00:45:00+00:00,2015-01-03 01:00:00+00:00,37868
2015-01-03 01:00:00+00:00,2015-01-03 01:15:00+00:00,37546
2015-01-03 01:15:00+00:00,2015-01-03 01:30:00+00:00,36981
2015-01-03 01:30:00+00:00,2015-01-03 01:45:00+00:00,36676
2015-01-03 01:45:00+00:00,2015-01-03 02:00:00+00:00,36382
2015-01-03 02:00:00+00:00,2015-01-03 02:15:00+00:00,36233
2015-01-03 02:15:00+00:00,2015-01-03 02:30:00+00:00,36038
2015-01-03 02:30:00+00:00,2015-01-03 02:45:00+00:00,35955
2015-01-03 02:45:00+00:00,2015-01-03 03:00:00+00:00,36189
2015-01-03 03:00:00+00:00,2015-01-03 03:15:00+00:00,36567
2015-01-03 03:15:00+00:00,2015-01-03 03:30:00+00:00,36393
2015-01-03 03:30:00+00:00,2015-01-03 03:45:00+00:00,36376
2015-01-03 03:45:00+00:00,2015-01-03 04:00:00+00:00,36477
2015-01-03 04:00:00+00:00,2015-01-03 04:15:00+00:00,37038
2015-01-03 04:15:00+00:00,2015-01-03 04:30:00+00:00,36641
2015-01-03 04:30:00+00:00,2015-01-03 04:45:00+00:00,36468
2015-01-03 04:45:00+00:00,2015-01-03 05:00:00+00:00,37211
2015-01-03 05:00:00+00:00,2015-01-03 05:15:00+00:00,37386
2015-01-03 05:15:00+00:00,2015-01-03 05:30:00+00:00,37499
2015-01-03 05:30:00+00:00,2015-01-03 05:45:00+00:00,38233
2015-01-03 05:45:00+00:00,2015-01-03 06:00:00+00:00,39174
2015-01-03 06:00:00+00:00,2015-01-03 06:15:00+00:00,39653
2015-01-03 06:15:00+00:00,2015-01-03 06:30:00+00:00,40333
2015-01-03 06:30:00+00:00,2015-01-03 06:45:00+00:00,41124
2015-01-03 06:45:00+00:00,2015-01-03 07:00:00+00:00,42165
2015-01-03 07:00:00+00:00,2015-01-03 07:15:00+00:00,42982
2015-01-03 07:15:00+00:00,2015-01-03 07:30:00+00:00,43589
2015-01-03 07:30:00+00:00,2015-01-03 07:45:00+00:00,44491
2015-01-03 07:45:00+00:00,2015-01-03 08:00:00+00:00,45415
2015-01-03 08:00:00+00:00,2015-01-03 08:15:00+00:00,46402
2015-01-03 08:15:00+00:00,2015-01-03 08:30:00+00:00,46832
2015-01-03 08:30:00+00:00,2015-01-03 08:45:00+00:00,47853
2015-01-03 08:45:00+00:00,2015-01-03 09:00:00+00:00,48597
2015-01-03 09:00:00+00:00,2015-01-03 09:15:00+00:00,49227
2015-01-03 09:15:00+00:00,2015-01-03 09:30:00+00:00,49646
2015-01-03 09:30:00+00:00,2015-01-03 09:45:00+00:00,49840
2015-01-03 09:45:00+00:00,2015-01-03 10:00:00+00:00,50309
2015-01-03 10:00:00+00:00,2015-01-03 10:15:00+00:00,50808
2015-01-03 10:15:00+00:00,2015-01-03 10:30:00+00:00,51497
2015-01-03 10:30:00+00:00,2015-01-03 10:45:00+00:00,52407
2015-01-03 10:45:00+00:00,2015-01-03 11:00:00+00:00,52955
2015-01-03 11:00:00+00:00,2015-01-03 11:15:00+00:00,51814
2015-01-03 11:15:00+00:00,2015-01-03 11:30:00+00:00,51711
2015-01-03 11:30:00+00:00,2015-01-03 11:45:00+00:00,52696
2015-01-03 11:45:00+00:00,2015-01-03 12:00:00+00:00,52600
2015-01-03 12:00:00+00:00,2015-01-03 12:15:00+00:00,52697
2015-01-03 12:15:00+00:00,2015-01-03 12:30:00+00:00,52230
2015-01-03 12:30:00+00:00,2015-01-03 12:45:00+00:00,52114
2015-01-03 12:45:00+00:00,2015-01-03 13:00:00+00:00,51545
2015-01-03 13:00:00+00:00,2015-01-03 13:15:00+00:00,51223
2015-01-03 13:15:00+00:00,2015-01-03 13:30:00+00:00,50786
2015-01-03 13:30:00+00:00,2015-01-03 13:45:00+00:00,50523
2015-01-03 13:45:00+00:00,2015-01-03 14:00:00+00:00,50176
2015-01-03 14:00:00+00:00,2015-01-03 14:15:00+00:00,50339
2015-01-03 14:15:00+00:00,2015-01-03 14:30:00+00:00,50253
2015-01-03 14:30:00+00:00,2015-01-03 14:45:00+00:00,50606
2015-01-03 14:45:00+00:00,2015-01-03 15:00:00+00:00,50714
2015-01-03 15:00:00+00:00,2015-01-03 15:15:00+00:00,51103
2015-01-03 15:15:00+00:00,2015-01-03 15:30:00+00:00,52537
2015-01-03 15:30:00+00:00,2015-01-03 15:45:00+00:00,53400
2015-01-03 15:45:00+00:00,2015-01-03 16:00:00+00:00,54242
2015-01-03 16:00:00+00:00,2015-01-03 16:15:00+00:00,55416
2015-01-03 16:15:00+00:00,2015-01-03 16:30:00+00:00,55657
2015-01-03 16:30:00+00:00,2015-01-03 16:45:00+00:00,56105
2015-01-03 16:45:00+00:00,2015-01-03 17:00:00+00:00,56236
2015-01-03 17:00:00+00:00,2015-01-03 17:15:00+00:00,56513
2015-01-03 17:15:00+00:00,2015-01-03 17:30:00+00:00,56619
2015-01-03 17:30:00+00:00,2015-01-03 17:45:00+00:00,56187
2015-01-03 17:45:00+00:00,2015-01-03 18:00:00+00:00,55719
2015-01-03 18:00:00+00:00,2015-01-03 18:15:00+00:00,55473
2015-01-03 18:15:00+00:00,2015-01-03 18:30:00+00:00,55843
2015-01-03 18:30:00+00:00,2015-01-03 18:45:00+00:00,54551
2015-01-03 18:45:00+00:00,2015-01-03 19:00:00+00:00,54203
2015-01-03 19:00:00+00:00,2015-01-03 19:15:00+00:00,52837
2015-01-03 19:15:00+00:00,2015-01-03 19:30:00+00:00,51295
2015-01-03 19:30:00+00:00,2015-01-03 19:45:00+00:00,49946
2015-01-03 19:45:00+00:00,2015-01-03 20:00:00+00:00,49126
2015-01-03 20:00:00+00:00,2015-01-03 20:15:00+00:00,48655
2015-01-03 20:15:00+00:00,2015-01-03 20:30:00+00:00,48449
2015-01-03 20:30:00+00:00,2015-01-03 20:45:00+00:00,48236
2015-01-03 20:45:00+00:00,2015-01-03 21:00:00+00:00,48095
2015-01-03 21:00:00+00:00,2015-01-03 21:15:00+00:00,48303
2015-01-03 21:15:00+00:00,2015-01-03 21:30:00+00:00,48673
2015-01-03 21:30:00+00:00,2015-01-03 21:45:00+00:00,47958
2015-01-03 21:45:00+00:00,2015-01-03 22:00:00+00:00,46937
2015-01-03 22:00:00+00:00,2015-01-03 22:15:00+00:00,46065
2015-01-03 22:15:00+00:00,2015-01-03 22:30:00+00:00,45914
2015-01-03 22:30:00+00:00,2015-01-03 22:45:00+00:00,45022
2015-01-03 22:45:00+00:00,2015-01-03 23:00:00+00:00,44707
2015-01-03 23:00:00+00:00,2015-01-03 23:15:00+00:00,43706
2015-01-03 23:15:00+00:00,2015-01-03 23:30:00+00:00,43055
2015-01-03 23:30:00+00:00,2015-01-03 23:45:00+00:00,42583
2015-01-03 23:45:00+00:00,2015-01-04 00:00:00+00:00,41880
2015-01-04 00:00:00+00:00,2015-01-04 00:15:00+00:00,38991
2015-01-04 00:15:00+00:00,2015-01-04 00:30:00+00:00,38723
2015-01-04 00:30:00+00:00,2015-01-04 00:45:00+00:00,38313
2015-01-04 00:45:00+00:00,2015-01-04 01:00:00+00:00,38042
2015-01-04 01:00:00+00:00,2015-01-04 01:15:00+00:00,37305
2015-01-04 01:15:00+00:00,2015-01-04 01:30:00+00:00,37234
2015-01-04 01:30:00+00:00,2015-01-04 01:45:00+00:00,36988
2015-01-04 01:45:00+00:00,2015-01-04 02:00:00+00:00,36799
2015-01-04 02:00:00+00:00,2015-01-04 02:15:00+00:00,36546
2015-01-04 02:15:00+00:00,2015-01-04 02:30:00+00:00,36563
2015-01-04 02:30:00+00:00,2015-01-04 02:45:00+00:00,36591
2015-01-04 02:45:00+00:00,2015-01-04 03:00:00+00:00,36600
2015-01-04 03:00:00+00:00,2015-01-04 03:15:00+00:00,36735
2015-01-04 03:15:00+00:00,2015-01-04 03:30:00+00:00,36666
2015-01-04 03:30:00+00:00,2015-01-04 03:45:00+00:00,36828
2015-01-04 03:45:00+00:00,2015-01-04 04:00:00+00:00,36943
2015-01-04 04:00:00+00:00,2015-01-04 04:15:00+00:00,36933
2015-01-04 04:15:00+00:00,2015-01-04 04:30:00+00:00,36384
2015-01-04 04:30:00+00:00,2015-01-04 04:45:00+00:00,36265
2015-01-04 04:45:00+00:00,2015-01-04 05:00:00+00:00,35763
2015-01-04 05:00:00+00:00,2015-01-04 05:15:00+00:00,34911
2015-01-04 05:15:00+00:00,2015-01-04 05:30:00+00:00,34915
2015-01-04 05:30:00+00:00,2015-01-04 05:45:00+00:00,36112
2015-01-04 05:45:00+00:00,2015-01-04 06:00:00+00:00,36428
2015-01-04 06:00:00+00:00,2015-01-04 06:15:00+00:00,36960
2015-01-04 06:15:00+00:00,2015-01-04 06:30:00+00:00,37298
2015-01-04 06:30:00+00:00,2015-01-04 06:45:00+00:00,39049
2015-01-04 06:45:00+00:00,2015-01-04 07:00:00+00:00,39712
2015-01-04 07:00:00+00:00,2015-01-04 07:15:00+00:00,40122
2015-01-04 07:15:00+00:00,2015-01-04 07:30:00+00:00,40639
2015-01-04 07:30:00+00:00,2015-01-04 07:45:00+00:00,41413
2015-01-04 07:45:00+00:00,2015-01-04 08:00:00+00:00,41975
2015-01-04 08:00:00+00:00,2015-01-04 08:15:00+00:00,42993
2015-01-04 08:15:00+00:00,2015-01-04 08:30:00+00:00,43519
2015-01-04 08:30:00+00:00,2015-01-04 08:45:00+00:00,44145
2015-01-04 08:45:00+00:00,2015-01-04 09:00:00+00:00,44938
2015-01-04 09:00:00+00:00,2015-01-04 09:15:00+00:00,45909
2015-01-04 09:15:00+00:00,2015-01-04 09:30:00+00:00,46622
2015-01-04 09:30:00+00:00,2015-01-04 09:45:00+00:00,47190
2015-01-04 09:45:00+00:00,2015-01-04 10:00:00+00:00,47938
2015-01-04 10:00:00+00:00,2015-01-04 10:15:00+00:00,48985
2015-01-04 10:15:00+00:00,2015-01-04 10:30:00+00:00,50160
2015-01-04 10:30:00+00:00,2015-01-04 10:45:00+00:00,50816
2015-01-04 10:45:00+00:00,2015-01-04 11:00:00+00:00,51047
2015-01-04 11:00:00+00:00,2015-01-04 11:15:00+00:00,51055
2015-01-04 11:15:00+00:00,2015-01-04 11:30:00+00:00,51016
2015-01-04 11:30:00+00:00,2015-01-04 11:45:00+00:00,50847
2015-01-04 11:45:00+00:00,2015-01-04 12:00:00+00:00,50219
2015-01-04 12:00:00+00:00,2015-01-04 12:15:00+00:00,49638
2015-01-04 12:15:00+00:00,2015-01-04 12:30:00+00:00,48937
2015-01-04 12:30:00+00:00,2015-01-04 12:45:00+00:00,48612
2015-01-04 12:45:00+00:00,2015-01-04 13:00:00+00:00,48109
2015-01-04 13:00:00+00:00,2015-01-04 13:15:00+00:00,47945
2015-01-04 13:15:00+00:00,2015-01-04 13:30:00+00:00,47368
2015-01-04 13:30:00+00:00,2015-01-04 13:45:00+00:00,47353
2015-01-04 13:45:00+00:00,2015-01-04 14:00:00+00:00,47404
2015-01-04 14:00:00+00:00,2015-01-04 14:15:00+00:00,47586
2015-01-04 14:15:00+00:00,2015-01-04 14:30:00+00:00,47207
2015-01-04 14:30:00+00:00,2015-01-04 14:45:00+00:00,47181
2015-01-04 14:45:00+00:00,2015-01-04 15:00:00+00:00,47618
2015-01-04 15:00:00+00:00,2015-01-04 15:15:00+00:00,48119
2015-01-04 15:15:00+00:00,2015-01-04 15:30:00+00:00,48698
2015-01-04 15:30:00+00:00,2015-01-04 15:45:00+00:00,49713
2015-01-04 15:45:00+00:00,2015-01-04 16:00:00+00:00,51329
2015-01-04 16:00:00+00:00,2015-01-04 16:15:00+00:00,52691
2015-01-04 16:15:00+00:00,2015-01-04 16:30:00+00:00,53376
2015-01-04 16:30:00+00:00,2015-01-04 16:45:00+00:00,53715
2015-01-04 16:45:00+00:00,2015-01-04 17:00:00+00:00,53818
2015-01-04 17:00:00+00:00,2015-01-04 17:15:00+00:00,54368
2015-01-04 17:15:00+00:00,2015-01-04 17:30:00+00:00,54244
2015-01-04 17:30:00+00:00,2015-01-04 17:45:00+00:00,53988
2015-01-04 17:45:00+00:00,2015-01-04 18:00:00+00:00,53833
2015-01-04 18:00:00+00:00,2015-01-04 18:15:00+00:00,53166
2015-01-04 18:15:00+00:00,2015-01-04 18:30:00+00:00,52726
2015-01-04 18:30:00+00:00,2015-01-04 18:45:00+00:00,52592
2015-01-04 18:45:00+00:00,2015-01-04 19:00:00+00:00,51999
2015-01-04 19:00:00+00:00,2015-01-04 19:15:00+00:00,51296
2015-01-04 19:15:00+00:00,2015-01-04 19:30:00+00:00,50599
2015-01-04 19:30:00+00:00,2015-01-04 19:45:00+00:00,49673
2015-01-04 19:45:00+00:00,2015-01-04 20:00:00+00:00,49402
2015-01-04 20:00:00+00:00,2015-01-04 20:15:00+00:00,49101
2015-01-04 20:15:00+00:00,2015-01-04 20:30:00+00:00,48994
2015-01-04 20:30:00+00:00,2015-01-04 20:45:00+00:00,48792
2015-01-04 20:45:00+00:00,2015-01-04 21:00:00+00:00,48623
2015-01-04 21:00:00+00:00,2015-01-04 21:15:00+00:00,49583
2015-01-04 21:15:00+00:00,2015-01-04 21:30:00+00:00,49239
2015-01-04 21:30:00+00:00,2015-01-04 21:45:00+00:00,48748
2015-01-04 21:45:00+00:00,2015-01-04 22:00:00+00:00,47663
2015-01-04 22:00:00+00:00,2015-01-04 22:15:00+00:00,47179
2015-01-04 22:15:00+00:00,2015-01-04 22:30:00+00:00,46372
